id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710ee9e58646,objTwoColors,#FFFF00,5,124,159,3,0.03,0.02,0.22,0.03,0.03,0.01
5711231e370f2,objTwoColors,#FFFF00,0,58,390,3,0.14,0.16,0.2,0.07,0.14,0.08
571151812791a,objTwoColors,#FFFF00,229,113,243,4,0.57,0.22,0.26,0.21,0.24,0.25
5713a02a13044,objTwoColors,#FFFF00,1,52,85,4,0.16,0.18,0.2,0.07,0.15,0.1
572767049ccfa,objTwoColors,#FFFF00,179,58,124,3,0.55,0.15,0.17,0.09,0.13,0.13
572c85675a5ef,objTwoColors,#FFFF00,346,101,1209,3,0.04,0.07,0.21,0.05,0.05,0.03
5739ff85289b2,objTwoColors,#FFFF00,50,196,6,2,0.61,0.15,0.18,0.1,0.14,0.16
573a059da0efd,objTwoColors,#FFFF00,199,49,84,5,0.64,0.15,0.18,0.1,0.15,0.16
573a0b8280839,objTwoColors,#FFFF00,0,40,38,3,0.23,0.22,0.21,0.11,0.19,0.14
573c70dabcfe0,objTwoColors,#FFFF00,70,0,710,2,0.73,0.12,0.2,0.05,0.11,0.06
573c783748e8b,objTwoColors,#FFFF00,55,57,77,3,0.4,0.01,0.18,0.03,0.01,0.03
573e4022949b1,objTwoColors,#FFFF00,71,0,130,5,0.73,0.12,0.2,0.05,0.11,0.05
573e47c26cb8e,objTwoColors,#FFFF00,52,156,108,2,0.38,0.14,0.18,0.05,0.11,0.1
573e4d0eb795b,objTwoColors,#FFFF00,239,121,157,4,0.58,0.26,0.27,0.21,0.28,0.26
573edae85268b,objTwoColors,#FFFF00,58,97,245,5,0.27,0.07,0.19,0.06,0.1,0.1
5740a8b59d448,objTwoColors,#FFFF00,152,57,912,2,0.54,0.14,0.18,0.06,0.11,0.11
5740ad339507d,objTwoColors,#FFFF00,55,0,38,3,0.67,0.17,0.2,0.07,0.15,0.09
5740b0f8e9734,objTwoColors,#FFFF00,72,0,358,5,0.74,0.12,0.2,0.05,0.11,0.05
5740b686127bb,objTwoColors,#FFFF00,51,65,829,2,0.35,0.01,0.18,0.03,0.01,0.03
5740bda9be3dc,objTwoColors,#FFFF00,74,88,325,5,0.36,0.08,0.19,0.08,0.1,0.12
5740e3f36a945,objTwoColors,#FFFF00,76,0,139,2,0.75,0.11,0.21,0.05,0.1,0.04
574859b8f3379,objTwoColors,#FFFF00,1,124,245,4,0.02,0.01,0.22,0.03,0.03,0.01
5756ab1701ba0,objTwoColors,#FFFF00,188,140,190,5,0.47,0.19,0.18,0.17,0.18,0.21
5756ae6897296,objTwoColors,#FFFF00,1,25,25,5,0.32,0.25,0.22,0.16,0.23,0.19
5756b2d9bd658,objTwoColors,#FFFF00,59,95,228,5,0.29,0.07,0.19,0.06,0.09,0.1
5757fd2703090,objTwoColors,#FFFF00,58,0,21,5,0.68,0.16,0.2,0.07,0.14,0.08
5757ffca0b4b1,objTwoColors,#FFFF00,57,0,28,5,0.68,0.17,0.2,0.07,0.14,0.08
57581518c2c07,objTwoColors,#FFFF00,178,162,86,2,0.58,0.22,0.17,0.17,0.21,0.24
57582b17cd76a,objTwoColors,#FFFF00,44,0,44,4,0.62,0.21,0.2,0.1,0.18,0.13
